model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,WMAPE_mean,WMAPE_std,RMSLE_mean,RMSLE_std,Precision@10_mean,Precision@10_std,NDCG@10_mean,NDCG@10_std,Precision@20_mean,Precision@20_std,NDCG@20_mean,NDCG@20_std,Precision@50_mean,Precision@50_std,NDCG@50_mean,NDCG@50_std
XGBoostPoisson,16.54682065411076,3.0119507797248017,66.46096545417367,13.091244082246316,0.4631621753653888,0.029558597103792245,0.7204732573460764,0.06683121153212619,1.085299324483588,0.08159347899329765,0.378125,0.07995767109331456,0.5802756337228197,0.05003140603215393,0.4328125,0.06853660062331655,0.6123232183890859,0.05306291519035253,0.489375,0.0330640161908179,0.6460557223079794,0.03691190684386328
TwoStageHardGate,19.54132282083365,5.316257409661765,72.48292203597458,15.389990477350372,0.3645641127794227,0.033540192712185946,0.836086076002221,0.046385957015129556,1.107123513575679,0.058694163318702246,0.36875,0.09655525188547054,0.5758918487557412,0.0587646358194277,0.40937500000000004,0.047186465220442196,0.6074462908249355,0.04323107225558076,0.47687500000000005,0.024098322901535435,0.6403181020876407,0.0318825731791902
TwoStageExpected,19.045329637987066,5.192385267799227,72.26200579407877,15.366345370669816,0.3685153201999065,0.032008632828311505,0.8147662156694381,0.04240966390346871,1.0449888261357758,0.05898518716316702,0.36875,0.09655525188547054,0.5756296392673623,0.058410176531660744,0.40625,0.043301270189221926,0.6059444290835378,0.04352900700572562,0.47687500000000005,0.025850128948743507,0.6391456896785075,0.03268791836082809
MovingAverage4,16.949254199900757,2.684961385439693,68.44194545004562,9.281623716492483,0.4170854628915201,0.09442188642709017,0.7415764312720786,0.08620290506830089,1.0100707337482937,0.059153893501917715,0.365625,0.08801929239282338,0.5704802227416349,0.1027935567894398,0.425,0.08338540040078958,0.6023840566249059,0.08641166603290505,0.461875,0.0306441266803281,0.6285526850239468,0.06963177315400847
NaiveLag1,19.510858611005077,3.238678949181208,84.48305964978711,10.320487699808893,0.10618686365148064,0.1700807188246766,0.852220876681465,0.09129053647899382,1.0953416189565828,0.06335128226239642,0.26875000000000004,0.1165922381636102,0.44672247056338077,0.1391457257866547,0.3296875,0.07678009046404324,0.4817747626472853,0.11999088933020279,0.37875000000000003,0.009242113755341196,0.5224726685703837,0.08258770841102223
