window,test_start,test_end,model,MAE,RMSE,R2,WMAPE,RMSLE,Precision@10,NDCG@10,Precision@20,NDCG@20,Precision@50,NDCG@50
1,2011-10-10/2011-10-16,2011-11-28/2011-12-04,NaiveLag1,23.37033138956052,98.602794336974,0.3341959167472158,0.7272617830476368,1.0049930901900423,0.4,0.6324353825807643,0.41875,0.6479523594830606,0.39,0.6413395760918009
1,2011-10-10/2011-10-16,2011-11-28/2011-12-04,MovingAverage4,20.229270374057744,80.59254916958938,0.5552071529001706,0.6295150460965128,0.9349364677567304,0.4625,0.7150116800746661,0.5125,0.7152715192154244,0.5025,0.7262092059000075
1,2011-10-10/2011-10-16,2011-11-28/2011-12-04,XGBoostPoisson,20.23958001815767,84.84891590096821,0.5069844647608682,0.6298358721055974,0.9688575920297134,0.425,0.6031379341329035,0.49374999999999997,0.6428863029233105,0.51,0.6774298417441742
1,2011-10-10/2011-10-16,2011-11-28/2011-12-04,TwoStageExpected,25.409397894912264,93.42579533652649,0.4022747308970701,0.7907155320645313,0.9703270831282705,0.4625,0.6520912731149646,0.44375,0.6618439348296661,0.4675,0.6847263427517177
1,2011-10-10/2011-10-16,2011-11-28/2011-12-04,TwoStageHardGate,25.9568575911155,93.62313772319382,0.39974692559533487,0.8077519406704159,1.0367783006391067,0.4625,0.652335461174123,0.44375,0.6623680094624548,0.465,0.6856007340533521
2,2011-08-15/2011-08-21,2011-10-03/2011-10-09,NaiveLag1,21.006020417066573,84.70977018480015,0.11708942306351833,0.8486934410009707,1.1269498063685193,0.1375,0.3263703384173133,0.26875000000000004,0.3910867752629397,0.38,0.45849966156594635
2,2011-08-15/2011-08-21,2011-10-03/2011-10-09,MovingAverage4,18.0494575807812,70.51010668474129,0.38828031520709794,0.7292412345742844,1.009779220195511,0.25,0.5053640853697887,0.38125,0.5535153520231337,0.45,0.5915268301407708
2,2011-08-15/2011-08-21,2011-10-03/2011-10-09,XGBoostPoisson,17.769892257282383,66.81713729041206,0.45067996110946207,0.7179461271872616,1.0981827433234548,0.2875,0.5271943895481499,0.35625000000000007,0.5483325562111583,0.45,0.6023218875283369
2,2011-08-15/2011-08-21,2011-10-03/2011-10-09,TwoStageExpected,21.137793574909523,73.63370069339217,0.33288152473074617,0.8540173915894617,1.104289003417656,0.26250000000000007,0.5553609591758567,0.36875,0.5871634633067786,0.4575,0.6247892394294381
2,2011-08-15/2011-08-21,2011-10-03/2011-10-09,TwoStageHardGate,21.84895061950799,74.00053518710914,0.32621795481127147,0.882749836254801,1.1721365629891949,0.26250000000000007,0.5575044811999001,0.36875,0.5880660953197486,0.46,0.6270052744679564
3,2011-06-20/2011-06-26,2011-08-08/2011-08-14,NaiveLag1,16.82971473373138,74.3765071454009,0.04212049392152528,0.892796926040037,1.100701303592414,0.21250000000000002,0.3549884531383361,0.2625,0.3965705265445643,0.3775,0.475873286927431
3,2011-06-20/2011-06-26,2011-08-08/2011-08-14,MovingAverage4,14.578953320065136,59.682636248852226,0.38321284678910283,0.7733966329772428,1.0160993819078754,0.3625,0.4894403965647025,0.33125,0.5192865288435825,0.43000000000000005,0.5682373297867043
3,2011-06-20/2011-06-26,2011-08-08/2011-08-14,XGBoostPoisson,14.073582277803496,56.75172871189383,0.44230402095206844,0.746587282956798,1.1160348867124619,0.33749999999999997,0.5523007161794327,0.39375,0.5912255641697302,0.475,0.6286336558639143
3,2011-06-20/2011-06-26,2011-08-08/2011-08-14,TwoStageExpected,14.466096428030873,59.467478397433986,0.38765190649502335,0.7674097052197169,1.0278816969377775,0.3125,0.5128977664902823,0.36875,0.5598356497582545,0.4675,0.608797221669535
3,2011-06-20/2011-06-26,2011-08-08/2011-08-14,TwoStageHardGate,14.82143755282922,59.62840152968193,0.3843333093304775,0.7862601414234703,1.0858558026791973,0.3125,0.511558894360596,0.36875,0.5615402334908146,0.47,0.6118689894373419
4,2011-04-25/2011-05-01,2011-06-13/2011-06-19,NaiveLag1,16.837367903661832,80.24316693197339,-0.06865837912633688,0.9401313566372151,1.1487222756753552,0.325,0.47309570811710944,0.36875,0.49148938929857655,0.3675,0.5141781496963563
4,2011-04-25/2011-05-01,2011-06-13/2011-06-19,MovingAverage4,14.939335524698944,62.98248969699961,0.341641536669709,0.8341528114402745,1.0794678651330578,0.3875,0.5721047289573824,0.47500000000000003,0.6214628264174831,0.46499999999999997,0.6282373742683047
4,2011-04-25/2011-05-01,2011-06-13/2011-06-19,XGBoostPoisson,14.104228063199498,57.42607991342058,0.4526802546391564,0.7875237471346483,1.1581220758687218,0.4625,0.6384694950307928,0.4875,0.6668484502521447,0.5225000000000001,0.675837504095492
4,2011-04-25/2011-05-01,2011-06-13/2011-06-19,TwoStageExpected,15.168030654095604,62.52104874896244,0.3512531186767863,0.8469222338040424,1.0774575210593995,0.4375,0.5821685582883455,0.44375000000000003,0.6149346684394521,0.515,0.638269954863339
4,2011-04-25/2011-05-01,2011-06-13/2011-06-19,TwoStageHardGate,15.538045519881882,62.67961370391342,0.3479582613806068,0.8675823856601966,1.1337233879952167,0.4375,0.5821685582883455,0.45625000000000004,0.6178108250267239,0.5125000000000001,0.6367974103919123
